Region,Fold,Model,Penalty,AUROC,CalibrationSlope,CalibrationIntercept
9,1,FL_recal,none,0.8133716475095786,1.0093878465382977,0.029505220938147392
9,2,Local,none,0.8118773946360153,0.8246573379901851,-0.009295693558686579
9,2,Centralized,none,0.8006130268199234,0.9143564301194508,-0.010168201228891586
9,2,FL,none,0.8009578544061303,0.9194637549954089,-0.004739890338864158
9,2,FL_recal,none,0.8009578544061303,0.919463754995409,-0.012144362999198835
9,3,Local,none,0.8336015325670498,0.9178605042808726,-0.12483873958230622
9,3,Centralized,none,0.8440613026819923,1.1067433293267013,-0.047861280312593436
9,3,FL,none,0.8445593869731801,1.112739274319754,-0.044183611875825535
9,3,FL_recal,none,0.8445593869731801,1.112739274319754,-0.05158808453614638
9,4,Local,none,0.8339666090961427,0.8843085647862481,0.008800994745832503
9,4,Centralized,none,0.8267511034350412,1.0372539748749623,0.06728232948712747
9,4,FL,none,0.8280560353099213,1.0498248534553154,0.07427706670223803
9,4,FL_recal,none,0.8280560353099213,1.0498248534553982,0.06687259404209712
9,5,Local,none,0.8583072100313479,1.0970779248815017,0.05955428616553294
9,5,Centralized,none,0.8540752351097178,1.3029386824568165,0.11695828943900592
9,5,FL,none,0.8546238244514106,1.309920344382759,0.12151836824880292
9,5,FL_recal,none,0.8546238244514106,1.3099203443827419,0.11411389558846835
10,1,Local,none,0.7298785425101214,0.644165451880237,0.0943897542319779
10,1,Centralized,none,0.7841295546558704,0.829765182891597,-0.15503952188778136
10,1,FL,none,0.7804048582995952,0.8260115652768033,-0.15696179047603362
10,1,FL_recal,none,0.7804048582995952,0.8260115652768034,-0.15536776489623996
10,2,Local,none,0.8012955465587045,0.8178608634400082,0.02824711089929174
10,2,Centralized,none,0.7765182186234818,0.7027361830142097,-0.15339341884445032
10,2,FL,none,0.7740890688259109,0.6946660845104964,-0.15281076434360744
10,2,FL_recal,none,0.7740890688259109,0.6946660845104742,-0.1512167387638139
10,3,Local,none,0.8305717998700455,0.754432199654079,0.03511978232248872
10,3,Centralized,none,0.792722547108512,0.7946721320512126,-0.07173196563742353
10,3,FL,none,0.7930474333983106,0.7965005800671752,-0.07515328049625583
10,3,FL_recal,none,0.7930474333983106,0.7965005800671717,-0.07355925491646208
10,4,Local,none,0.8526640675763483,1.2910123939792137,0.06977208634385305
10,4,Centralized,none,0.8602988953866146,1.2096982130695118,-0.12433449560689908
10,4,FL,none,0.859324236517219,1.2069809414135744,-0.1291037180086412
10,4,FL_recal,none,0.859324236517219,1.2069809414135741,-0.1275096924288474
10,5,Local,none,0.8377192982456141,0.8474536522289666,-0.08950494636718244
10,5,Centralized,none,0.8167641325536062,0.8724157183090828,-0.2947125912338285
10,5,FL,none,0.8141650422352177,0.8717387965094594,-0.30108034217982776
10,5,FL_recal,none,0.8141650422352177,0.8717387965094594,-0.299486316600034
11,1,Local,none,0.7955406911928651,0.8082567800751284,0.017500102657218086
11,1,Centralized,none,0.7950947603121516,0.9757368751277018,0.14296832397361642
11,1,FL,none,0.7956521739130434,0.9861564538891258,0.15064869534752195
11,1,FL_recal,none,0.7956521739130434,0.9861564538891255,0.14427838097775078
11,2,Local,none,0.8734553775743708,1.1204871825314142,0.13829917579111303
11,2,Centralized,none,0.8791762013729977,1.352002220557378,0.2471749726368002
11,2,FL,none,0.879233409610984,1.3635123991984437,0.25138885319769255
11,2,FL_recal,none,0.879233409610984,1.3635123991984335,0.2450185388279213
11,3,Local,none,0.85720823798627,1.164741637311903,-0.016555464845391443
11,3,Centralized,none,0.8562929061784897,1.1349047717215102,0.05938272721706376
11,3,FL,none,0.8566361556064073,1.1448919511073614,0.0669660091405909
11,3,FL_recal,none,0.8566361556064073,1.1448919511073616,0.060595694770726176
11,4,Local,none,0.8182494279176201,0.8273497227752271,0.05374480296850133
11,4,Centralized,none,0.8029176201372997,0.8390041978332581,0.14455402011149898
11,4,FL,none,0.802116704805492,0.8416568448417143,0.14872036112380818
11,4,FL_recal,none,0.802116704805492,0.8416568448418582,0.14235004675403712
11,5,Local,none,0.8074370709382152,0.7803977755679458,-0.23694237059781786
11,5,Centralized,none,0.8189931350114417,0.9222346799677166,-0.12497723795718181
11,5,FL,none,0.8195652173913044,0.9303803803157084,-0.11325893689868317
11,5,FL_recal,none,0.8195652173913044,0.930380380315708,-0.11962925126845428
12,1,Local,none,0.8553268765133172,1.0614464884164108,-0.05537799723668682
12,1,Centralized,none,0.8554103698755949,1.0319602366303608,-0.22030509222698078
12,1,FL,none,0.8545963095933873,1.0368977789434235,-0.21345118623521156
12,1,FL_recal,none,0.8545963095933873,1.0368977789434233,-0.2184236760226092
12,2,Local,none,0.844305752692661,1.1038756408677461,-0.031333847309458644
12,2,Centralized,none,0.8500667946898222,1.1958826466738244,-0.14645261369883467
12,2,FL,none,0.8504633881606413,1.204886871920579,-0.13939680783640884
12,2,FL_recal,none,0.8504633881606413,1.204886871920579,-0.14436929762380654
12,3,Local,none,0.8431501613725157,0.9759243492394761,0.05709962238794419
12,3,Centralized,none,0.8453371836249363,0.9725764767743127,-0.11748499707940838
12,3,FL,none,0.845910480720231,0.9806077980961043,-0.10936640304852173
12,3,FL_recal,none,0.845910480720231,0.9806077980961042,-0.11433889283591953
12,4,Local,none,0.7678112395243369,0.6920921400284238,-0.04780779381768895
12,4,Centralized,none,0.7792430353821397,0.8001463867003998,-0.18925574667016493
12,4,FL,none,0.7794102280089448,0.80450544616263,-0.18422330522743388
12,4,FL_recal,none,0.7794102280089448,0.8045054461626301,-0.1891957950148316
12,5,Local,none,0.819578256598884,0.9625740585874516,0.04886985750042627
